EggNOG,locus_tag,old_locus_tag,COG,minPos,maxPos,Orient,gene_id,NCBI_desc,protein_id,gi_id,pfam_id,interpro_id,EC_num,unknown,COG_desc,unknown2,NOG_desc
ENOG4105JVS,OG1RF_RS09850,OG1RF_11925,NA,2033183,2034514,-,NA,hypothetical protein,AEA94612.1,GI:327535778,NA,NA,NA,NA,NA,S,NA
NA,Intergenic_1984_2034515_2034626,Intergenic_1984_2034515_2034626,NA,2034515,2034626,.,Intergenic_1984_2034515_2034626,Intergenic_1984_2034515_2034626,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108UTH,OG1RF_RS09855,OG1RF_11926,COG1396,2034627,2035178,-,NA,cro/CI family transcriptional regulator,AEA94613.1,GI:327535779,"PF01381,PF07883",IPR013096,NA,K,"Transcriptional regulator, contains XRE-family HTH domain",K,Transcriptional regulator
NA,Intergenic_1985_2035179_2035391,Intergenic_1985_2035179_2035391,NA,2035179,2035391,.,Intergenic_1985_2035179_2035391,Intergenic_1985_2035179_2035391,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108VCN,OG1RF_RS09860,OG1RF_11927,COG1296,2035392,2036099,+,azlC,LIV-E family branched chain amino acid exporter AzlC,AEA94614.1,GI:327535780,PF03591,IPR011606,NA,E,Predicted branched-chain amino acid permease (azaleucine resistance),E,amino acid
ENOG410692P,OG1RF_RS09865,OG1RF_11928,COG4392,2036086,2036412,+,azlD,LIV-E family branched chain amino acid exporter AzlD,AEA94615.1,GI:327535781,PF05437,IPR008407,NA,E,Branched-chain amino acid transport protein,S,Branched-chain amino acid transport
NA,Intergenic_1987_2036413_2036461,Intergenic_1987_2036413_2036461,NA,2036413,2036461,.,Intergenic_1987_2036413_2036461,Intergenic_1987_2036413_2036461,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1988_2036535_2036680,Intergenic_1988_2036535_2036680,NA,2036535,2036680,.,Intergenic_1988_2036535_2036680,Intergenic_1988_2036535_2036680,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS09875,OG1RF_11929,NA,2036681,2036929,+,NA,hypothetical protein,AEA94616.1,GI:327535782,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1989_2036930_2037002,Intergenic_1989_2036930_2037002,NA,2036930,2037002,.,Intergenic_1989_2036930_2037002,Intergenic_1989_2036930_2037002,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105W2Y,OG1RF_RS09880,OG1RF_11930,NA,2037003,2037275,-,NA,hypothetical membrane Spanning protein,AEA94617.1,GI:327535783,NA,NA,NA,NA,NA,S,integral membrane protein
NA,Intergenic_1990_2037276_2037380,Intergenic_1990_2037276_2037380,NA,2037276,2037380,.,Intergenic_1990_2037276_2037380,Intergenic_1990_2037276_2037380,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CZ5,OG1RF_RS09885,OG1RF_11931,COG0035,2037381,2038010,-,upp2,uracil phosphoribosyltransferase,AEA94618.1,GI:327535784,PF00156,IPR005765,2.4.2.9,F,Uracil phosphoribosyltransferase,F,Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)
NA,Intergenic_1991_2038011_2038141,Intergenic_1991_2038011_2038141,NA,2038011,2038141,.,Intergenic_1991_2038011_2038141,Intergenic_1991_2038011_2038141,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS09890,OG1RF_11932,COG0112,2038142,2039380,-,glyA,serine hydroxymethyltransferase,AEA94619.1,GI:327535785,PF00464,IPR001085,2.1.2.1,E,Glycine/serine hydroxymethyltransferase,NA,NA
NA,Intergenic_1992_2039381_2039455,Intergenic_1992_2039381_2039455,NA,2039381,2039455,.,Intergenic_1992_2039381_2039455,Intergenic_1992_2039381_2039455,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105EK0,OG1RF_RS09895,OG1RF_11933,COG0009,2039456,2040478,-,NA,Sua5/YciO/YrdC/YwlC family protein,AEA94620.1,GI:327535786,"PF01300,PF03481",IPR004388,NA,J,tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC,J,Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)
NA,Intergenic_1993_2040479_2040521,Intergenic_1993_2040479_2040521,NA,2040479,2040521,.,Intergenic_1993_2040479_2040521,Intergenic_1993_2040479_2040521,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105EQY,OG1RF_RS09900,OG1RF_11934,COG2890,2040522,2041355,-,prmC,protein-(glutamine-N5) methyltransferase,AEA94621.1,GI:327535787,PF08242,IPR004556,2.1.1.-,J,Methylase of polypeptide chain release factors,J,Methylates the class 1 translation termination release factors RF1 PrfA and RF2 PrfB on the glutamine residue of the universally conserved GGQ motif (By similarity)
ENOG4105C8K,OG1RF_RS09905,OG1RF_11935,COG0216,2041348,2042421,-,prfA,peptide chain release factor RF1,AEA94622.1,GI:327535788,"PF03462,PF00472",IPR004373,NA,J,Protein chain release factor A,J,Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA (By similarity)
NA,Intergenic_1995_2042422_2042432,Intergenic_1995_2042422_2042432,NA,2042422,2042432,.,Intergenic_1995_2042422_2042432,Intergenic_1995_2042422_2042432,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107104,OG1RF_RS09910,OG1RF_11936,COG1435,2042433,2043017,-,tdk,thymidine kinase,AEA94623.1,GI:327535789,PF00265,IPR001267,2.7.1.21,F,Thymidine kinase,F,thymidine kinase
NA,NA,OG1RF_11937,NA,2043009,2043143,+,NA,hypothetical protein,AEA94624.1,GI:327535790,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_1997_2043144_2043242,Intergenic_1997_2043144_2043242,NA,2043144,2043242,.,Intergenic_1997_2043144_2043242,Intergenic_1997_2043144_2043242,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107EFR,OG1RF_RS09915,OG1RF_11938,COG1053,2043243,2044760,-,NA,fumarate reductase,AEA94625.1,GI:327535791,PF00890,IPR010960,1.3.99.1,C,"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit",C,Flavocytochrome c
NA,Intergenic_1998_2044761_2045129,Intergenic_1998_2044761_2045129,NA,2044761,2045129,.,Intergenic_1998_2044761_2045129,Intergenic_1998_2044761_2045129,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CZN,OG1RF_RS09920,OG1RF_11939,COG0168,2045130,2046545,+,ntpJ2,"Trk family potassium (K+) transporter, membrane protein",AEA94626.1,GI:327535792,PF02386,IPR003445,3.6.3.14,P,"Trk-type K+ transport system, membrane component",P,Potassium uptake protein
NA,Intergenic_1999_2046546_2046581,Intergenic_1999_2046546_2046581,NA,2046546,2046581,.,Intergenic_1999_2046546_2046581,Intergenic_1999_2046546_2046581,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105D95,OG1RF_RS09925,OG1RF_11940,COG0674,2046582,2050115,-,nifJ2,pyruvate:ferredoxin oxidoreductase,AEA94627.1,GI:327535793,"PF01855,PF01558,PF00037",IPR011895,1.2.7.1,C,"Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit",C,Oxidoreductase required for the transfer of electrons from pyruvate to flavodoxin (By similarity)
NA,Intergenic_2000_2050116_2050135,Intergenic_2000_2050116_2050135,NA,2050116,2050135,.,Intergenic_2000_2050116_2050135,Intergenic_2000_2050116_2050135,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107QZ5,OG1RF_RS09930,OG1RF_11941,COG0493,2050136,2051554,-,gltA,glutamate synthase,AEA94628.1,GI:327535794,"PF07992,PF00070",IPR006004,1.4.1.13,ER,NADPH-dependent glutamate synthase beta chain or related oxidoreductase,E,glutamate synthase
ENOG4105CDJ,OG1RF_RS09935,OG1RF_11942,COG0543,2051547,2052404,-,NA,ferredoxin--NADP(+) reductase subunit alpha,AEA94629.1,GI:327535795,"PF00970,PF00175",IPR001433,1.18.1.2,HC,NAD(P)H-flavin reductase,C,oxidoreductase FAD NAD(P)-binding domain protein
NA,Intergenic_2002_2052405_2052441,Intergenic_2002_2052405_2052441,NA,2052405,2052441,.,Intergenic_2002_2052405_2052441,Intergenic_2002_2052405_2052441,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105NQC,OG1RF_RS09940,OG1RF_11943,COG0716,2052442,2052906,-,NA,flavodoxin,AEA94630.1,GI:327535796,PF00258,IPR010087,NA,C,Flavodoxin,C,Flavodoxin
NA,Intergenic_2003_2052907_2053141,Intergenic_2003_2052907_2053141,NA,2052907,2053141,.,Intergenic_2003_2052907_2053141,Intergenic_2003_2052907_2053141,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107P0T,OG1RF_RS09945,OG1RF_11944,COG1975,2053142,2053972,-,NA,YqeB family selenium-dependent molybdenum hydroxylase system protein,AEA94631.1,GI:327535797,NA,NA,NA,O,"Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family",O,"Selenium-dependent molybdenum hydroxylase system protein, YqeB family"
ENOG4105MJ6,OG1RF_RS09950,OG1RF_11945,NA,2053936,2054691,-,yqeC,hypothetical protein,AEA94632.1,GI:327535798,NA,NA,NA,NA,NA,S,selenium-dependent hydroxylase accessory protein YqeC
ENOG4107FPN,OG1RF_RS09955,OG1RF_11946,NA,2054679,2054936,-,NA,hypothetical protein,AEA94633.1,GI:327535799,NA,NA,NA,NA,NA,S,Protein of unknown function (DUF3343)
NA,Intergenic_2006_2054937_2054956,Intergenic_2006_2054937_2054956,NA,2054937,2054956,.,Intergenic_2006_2054937_2054956,Intergenic_2006_2054937_2054956,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108ZWD,OG1RF_RS09960,OG1RF_11947,NA,2054957,2055544,-,yedF2,selenium metabolism protein YedF,AEA94634.1,GI:327535800,PF01206,NA,NA,NA,NA,S,selenium metabolism protein yedf
NA,Intergenic_2007_2055545_2055559,Intergenic_2007_2055545_2055559,NA,2055545,2055559,.,Intergenic_2007_2055545_2055559,Intergenic_2007_2055545_2055559,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105D4F,OG1RF_RS09965,OG1RF_11948,COG0709,2055560,2056582,-,selD,"selenide, water dikinase",AEA94635.1,GI:327535801,"PF00586,PF02769",IPR004536,2.7.9.3,E,Selenophosphate synthase,E,Synthesizes selenophosphate from selenide and ATP (By similarity)
NA,Intergenic_2008_2056583_2056597,Intergenic_2008_2056583_2056597,NA,2056583,2056597,.,Intergenic_2008_2056583_2056597,Intergenic_2008_2056583_2056597,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107RU5,OG1RF_RS09970,OG1RF_11949,COG0520,2056598,2057746,-,NA,putative cysteine desulfurase,AEA94636.1,GI:327535802,PF00266,IPR010969,2.8.1.7,E,Selenocysteine lyase/Cysteine desulfurase,E,Cysteine desulfurase
NA,Intergenic_2009_2057747_2057759,Intergenic_2009_2057747_2057759,NA,2057747,2057759,.,Intergenic_2009_2057747_2057759,Intergenic_2009_2057747_2057759,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105MFX,OG1RF_RS09975,OG1RF_11950,COG2068,2057760,2058341,-,ygfJ,YgfJ family molybdenum hydroxylase accessory protein,AEA94637.1,GI:327535803,PF01128,NA,NA,H,CTP:molybdopterin cytidylyltransferase MocA,O,4-diphosphocytidyl-2c-methyl-d-erythritol synthase
NA,Intergenic_2010_2058342_2058354,Intergenic_2010_2058342_2058354,NA,2058342,2058354,.,Intergenic_2010_2058342_2058354,Intergenic_2010_2058342_2058354,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C7W,OG1RF_RS09980,OG1RF_11951,COG1529,2058355,2060928,-,NA,selenium-dependent molybdenum hydroxylase 1,AEA94638.1,GI:327535804,"PF00111,PF01799,PF01315,PF02738",IPR008274,NA,C,"CO or xanthine dehydrogenase, Mo-binding subunit",C,Xanthine dehydrogenase
NA,Intergenic_2011_2060929_2061048,Intergenic_2011_2060929_2061048,NA,2060929,2061048,.,Intergenic_2011_2060929_2061048,Intergenic_2011_2060929_2061048,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105XRQ,OG1RF_RS09985,OG1RF_11952,COG1975,2061049,2062056,-,NA,hypothetical protein,AEA94639.1,GI:327535805,PF02625,NA,NA,O,"Xanthine and CO dehydrogenase maturation factor, XdhC/CoxF family",O,Xanthine dehydrogenase accessory factor
ENOG41061NH,OG1RF_RS09990,OG1RF_11953,NA,2062053,2062412,-,NA,molybdenum transport domain protein,AEA94640.1,GI:327535806,PF00126,IPR011991,NA,NA,NA,K,Transcriptional regulator
NA,Intergenic_2013_2062413_2062505,Intergenic_2013_2062413_2062505,NA,2062413,2062505,.,Intergenic_2013_2062413_2062505,Intergenic_2013_2062413_2062505,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C2W,OG1RF_RS09995,OG1RF_11954,COG2233,2062506,2063825,-,NA,xanthine/uracil permease,AEA94641.1,GI:327535807,PF00860,IPR006042,NA,F,Xanthine/uracil permease,F,permease
NA,Intergenic_2014_2063826_2063918,Intergenic_2014_2063826_2063918,NA,2063826,2063918,.,Intergenic_2014_2063826_2063918,Intergenic_2014_2063826_2063918,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105KME,OG1RF_RS10000,OG1RF_11955,COG0251,2063919,2064299,-,NA,endoribonuclease inhibitor of translation,AEA94642.1,GI:327535808,PF01042,IPR013813,NA,V,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family",J,endoribonuclease L-psp
NA,Intergenic_2015_2064300_2064313,Intergenic_2015_2064300_2064313,NA,2064300,2064313,.,Intergenic_2015_2064300_2064313,Intergenic_2015_2064300_2064313,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C5B,OG1RF_RS10005,OG1RF_11956,COG0549,2064314,2065258,-,arcC3,carbamate kinase,AEA94643.1,GI:327535809,PF00696,IPR001048,2.7.2.2,E,Carbamate kinase,E,carbamate kinase
NA,Intergenic_2016_2065259_2065498,Intergenic_2016_2065259_2065498,NA,2065259,2065498,.,Intergenic_2016_2065259_2065498,Intergenic_2016_2065259_2065498,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105IW6,OG1RF_RS10010,OG1RF_11957,COG0078,2065499,2066740,-,ygeW,carbamoyltransferase YgeW,AEA94644.1,GI:327535810,"PF02729,PF00185",IPR006132,NA,E,Ornithine carbamoyltransferase,E,Carbamoyltransferase
ENOG4107S4Y,OG1RF_RS10015,OG1RF_11958,COG0624,2066731,2068056,-,ygeY,M20/DapE family protein YgeY,AEA94645.1,GI:327535811,"PF01546,PF07687",IPR002933,NA,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase,E,M20 DapE family protein YgeY
ENOG4107RCH,OG1RF_RS10020,OG1RF_11959,COG1171,2068047,2069240,-,dpaL,diaminopropionate ammonia-lyase,AEA94646.1,GI:327535812,PF00291,IPR010081,4.3.1.15,E,Threonine dehydratase,E,Diaminopropionate ammonia-lyase
NA,Intergenic_2019_2069241_2069263,Intergenic_2019_2069241_2069263,NA,2069241,2069263,.,Intergenic_2019_2069241_2069263,Intergenic_2019_2069241_2069263,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107RNN,OG1RF_RS10025,OG1RF_11960,COG0044,2069264,2070637,-,hydA,dihydropyrimidinase,AEA94647.1,GI:327535813,PF01979,IPR011778,3.5.2.2,F,Dihydroorotase or related cyclic amidohydrolase,F,dihydropyrimidinase (EC 3.5.2.2)
NA,Intergenic_2020_2070638_2070666,Intergenic_2020_2070638_2070666,NA,2070638,2070666,.,Intergenic_2020_2070638_2070666,Intergenic_2020_2070638_2070666,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107QRB,OG1RF_RS10030,OG1RF_11961,COG0493,2070667,2073672,-,ygfK,selenate reductase subunit YgfK,AEA94648.1,GI:327535814,"PF07992,PF00037",IPR016040,NA,ER,NADPH-dependent glutamate synthase beta chain or related oxidoreductase,E,"Selenate reductase, YgfK"
NA,Intergenic_2021_2073673_2073702,Intergenic_2021_2073673_2073702,NA,2073673,2073702,.,Intergenic_2021_2073673_2073702,Intergenic_2021_2073673_2073702,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107SH0,OG1RF_RS10035,OG1RF_11962,COG0402,2073703,2075073,-,mtaD2,S-adenosylhomocysteine deaminase,AEA94649.1,GI:327535815,PF01979,IPR006680,3.5.4.28,FR,Cytosine/adenosine deaminase or related metal-dependent hydrolase,F,selenium metabolism protein SsnA
NA,Intergenic_2022_2075074_2075440,Intergenic_2022_2075074_2075440,NA,2075074,2075440,.,Intergenic_2022_2075074_2075440,Intergenic_2022_2075074_2075440,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105WWK,OG1RF_RS10040,OG1RF_11963,COG2964,2075441,2076079,+,NA,putative transcriptional regulator,AEA94650.1,GI:327535816,PF08348,IPR013559,NA,K,"Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains",E,YheO domain protein
NA,Intergenic_2023_2076080_2076284,Intergenic_2023_2076080_2076284,NA,2076080,2076284,.,Intergenic_2023_2076080_2076284,Intergenic_2023_2076080_2076284,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DMS,OG1RF_RS10050,OG1RF_11964,COG0769,2076285,2077637,+,murE2,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",AEA94651.1,GI:327535817,"PF08245,PF08353",IPR013221,6.3.2.13,M,UDP-N-acetylmuramyl tripeptide synthase,M,mur ligase
ENOG4105F1K,OG1RF_RS10055,OG1RF_11965,COG3442,2077627,2078319,+,NA,glutamine amidotransferase domain protein,AEA94652.1,GI:327535818,PF07685,IPR011698,NA,R,Glutamine amidotransferase related to the GATase domain of CobQ,S,Glutamine amidotransferase
NA,Intergenic_2025_2078320_2078555,Intergenic_2025_2078320_2078555,NA,2078320,2078555,.,Intergenic_2025_2078320_2078555,Intergenic_2025_2078320_2078555,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DU0,OG1RF_RS10060,OG1RF_11966,COG1957,2078556,2079536,+,rihB,purine nucleosidase,AEA94653.1,GI:327535819,PF01156,IPR001910,3.2.2.8,F,Inosine-uridine nucleoside N-ribohydrolase,F,nucleoside hydrolase
ENOG41084C3,OG1RF_RS10065,OG1RF_11967,NA,2079533,2080078,+,NA,integral membrane protein,AEA94654.1,GI:327535820,NA,NA,NA,NA,NA,S,integral membrane protein
NA,Intergenic_2027_2080079_2080133,Intergenic_2027_2080079_2080133,NA,2080079,2080133,.,Intergenic_2027_2080079_2080133,Intergenic_2027_2080079_2080133,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DG6,OG1RF_RS10070,OG1RF_11968,COG1482,2080134,2081105,-,pmi,mannose-6-phosphate isomerase,AEA94655.1,GI:327535821,PF01238,IPR001250,5.3.1.8,G,"Mannose-6-phosphate isomerase, class I",G,mannose-6-phosphate isomerase
NA,Intergenic_2028_2081106_2081146,Intergenic_2028_2081106_2081146,NA,2081106,2081146,.,Intergenic_2028_2081106_2081146,Intergenic_2028_2081106_2081146,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107XTZ,OG1RF_RS10075,OG1RF_11969,COG1680,2081147,2082190,-,ampC,beta-lactamase,AEA94656.1,GI:327535822,PF00144,IPR001466,3.5.2.6,V,"CubicO group peptidase, beta-lactamase class C family",V,Beta-lactamase
NA,Intergenic_2029_2082191_2082319,Intergenic_2029_2082191_2082319,NA,2082191,2082319,.,Intergenic_2029_2082191_2082319,Intergenic_2029_2082191_2082319,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41074EB,OG1RF_RS10080,OG1RF_11970,NA,2082320,2083189,-,NA,glyoxalase,AEA94657.1,GI:327535823,PF00903,NA,NA,NA,NA,S,CppA protein
NA,Intergenic_2030_2083190_2083351,Intergenic_2030_2083190_2083351,NA,2083190,2083351,.,Intergenic_2030_2083190_2083351,Intergenic_2030_2083190_2083351,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105BZ1,OG1RF_RS10085,OG1RF_11971,COG1132,2083352,2085220,-,NA,"multidrug resistance ABC superfamily ATP binding cassette transporter, membrane protein",AEA94658.1,GI:327535824,"PF00664,PF00005",IPR001140,NA,V,"ABC-type multidrug transport system, ATPase and permease component",V,(ABC) transporter
ENOG4105BZ1,OG1RF_RS10090,OG1RF_11972,COG1132,2085217,2086944,-,NA,"multidrug resistance ABC superfamily ATP binding cassette transporter, ABC/membrane protein",AEA94659.1,GI:327535825,"PF00664,PF00005",IPR001140,NA,V,"ABC-type multidrug transport system, ATPase and permease component",V,(ABC) transporter
NA,Intergenic_2032_2086945_2086964,Intergenic_2032_2086945_2086964,NA,2086945,2086964,.,Intergenic_2032_2086945_2086964,Intergenic_2032_2086945_2086964,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105TBH,OG1RF_RS10095,OG1RF_11973,NA,2086965,2087642,-,NA,TetR family transcriptional regulator,AEA94660.1,GI:327535826,PF00440,IPR001647,NA,NA,NA,K,Transcriptional regulator
NA,Intergenic_2033_2087643_2087789,Intergenic_2033_2087643_2087789,NA,2087643,2087789,.,Intergenic_2033_2087643_2087789,Intergenic_2033_2087643_2087789,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108ZDS,OG1RF_RS10100,OG1RF_11974,COG0194,2087790,2088359,-,gmk,guanylate kinase,AEA94661.1,GI:327535827,PF00625,IPR008144,2.7.4.8,F,Guanylate kinase,F,Guanylate kinase
NA,Intergenic_2034_2088360_2088540,Intergenic_2034_2088360_2088540,NA,2088360,2088540,.,Intergenic_2034_2088360_2088540,Intergenic_2034_2088360_2088540,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CS2,OG1RF_RS10105,OG1RF_11975,COG2723,2088541,2089986,-,bglH,beta-glucosidase,AEA94662.1,GI:327535828,PF00232,IPR001360,3.2.1.21,G,Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase,G,ec 3.2.1.21
NA,Intergenic_2035_2089987_2090010,Intergenic_2035_2089987_2090010,NA,2089987,2090010,.,Intergenic_2035_2089987_2090010,Intergenic_2035_2089987_2090010,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107ZU8,OG1RF_RS10110,OG1RF_11976,COG1263,2090011,2091927,-,bglF,"PTS family porter, enzyme I",AEA94663.1,GI:327535829,"PF00367,PF02378,PF00358",IPR011297,2.7.1.69,G,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",G,PTS System
NA,Intergenic_2036_2091928_2092053,Intergenic_2036_2091928_2092053,NA,2091928,2092053,.,Intergenic_2036_2091928_2092053,Intergenic_2036_2091928_2092053,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CID,OG1RF_RS10115,OG1RF_11977,COG3711,2092054,2092896,-,licT2,transcription antiterminator LicT,AEA94664.1,GI:327535830,"PF03123,PF00874",IPR011608,NA,K,Transcriptional antiterminator,K,antiterminator
NA,Intergenic_2037_2092897_2092901,Intergenic_2037_2092897_2092901,NA,2092897,2092901,.,Intergenic_2037_2092897_2092901,Intergenic_2037_2092897_2092901,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_11978,NA,2092902,2093171,+,NA,hypothetical protein,AEA94665.1,GI:327535831,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_2038_2093172_2093197,Intergenic_2038_2093172_2093197,NA,2093172,2093197,.,Intergenic_2038_2093172_2093197,Intergenic_2038_2093172_2093197,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108V3G,OG1RF_RS10120,OG1RF_11979,COG1182,2093198,2093824,+,NA,FMN-dependent NADH-azoreductase,AEA94666.1,GI:327535832,PF02525,IPR003680,1.7.-.-,C,FMN-dependent NADH-azoreductase,I,"Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity (By similarity)"
NA,Intergenic_2039_2093825_2093885,Intergenic_2039_2093825_2093885,NA,2093825,2093885,.,Intergenic_2039_2093825_2093885,Intergenic_2039_2093825_2093885,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C02,OG1RF_RS10125,OG1RF_11980,COG0628,2093886,2095070,-,NA,permease protein,AEA94667.1,GI:327535833,PF01594,IPR002549,NA,R,Predicted PurR-regulated permease PerM,P,permease
ENOG4105Y5N,OG1RF_RS10130,OG1RF_11981,NA,2095060,2095440,-,NA,PTS family glucitol/sorbitol porter component IIA,AEA94668.1,GI:327535834,PF03829,IPR004716,2.7.1.69,NA,NA,G,PTS system glucitol sorbitol-specific
NA,Intergenic_2041_2095441_2095555,Intergenic_2041_2095441_2095555,NA,2095441,2095555,.,Intergenic_2041_2095441_2095555,Intergenic_2041_2095441_2095555,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106DW8,OG1RF_RS10135,OG1RF_11982,NA,2095556,2095732,-,NA,hypothetical protein,AEA94669.1,GI:327535835,NA,NA,NA,NA,NA,S,DNA-directed RNA polymerase subunit beta
NA,Intergenic_2042_2095733_2095745,Intergenic_2042_2095733_2095745,NA,2095733,2095745,.,Intergenic_2042_2095733_2095745,Intergenic_2042_2095733_2095745,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CDF,OG1RF_RS10140,OG1RF_11983,COG0766,2095746,2097047,-,murA2,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,AEA94670.1,GI:327535836,PF00275,IPR005750,2.5.1.7,M,UDP-N-acetylglucosamine enolpyruvyl transferase,M,Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine (By similarity)
NA,Intergenic_2043_2097048_2097149,Intergenic_2043_2097048_2097149,NA,2097048,2097149,.,Intergenic_2043_2097048_2097149,Intergenic_2043_2097048_2097149,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41068S5,OG1RF_RS10145,OG1RF_11984,NA,2097150,2097386,-,NA,hypothetical protein,AEA94671.1,GI:327535837,PF06612,IPR009526,NA,NA,NA,S,Membrane
NA,Intergenic_2044_2097387_2097574,Intergenic_2044_2097387_2097574,NA,2097387,2097574,.,Intergenic_2044_2097387_2097574,Intergenic_2044_2097387_2097574,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105KNM,OG1RF_RS10150,OG1RF_11985,COG0355,2097575,2097994,-,atpC2,ATP synthase F1 sector epsilon subunit,AEA94672.1,GI:327535838,"PF02823,PF00401",IPR001469,3.6.3.14,C,"FoF1-type ATP synthase, epsilon subunit",C,Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
NA,Intergenic_2045_2097995_2098010,Intergenic_2045_2097995_2098010,NA,2097995,2098010,.,Intergenic_2045_2097995_2098010,Intergenic_2045_2097995_2098010,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C4J,OG1RF_RS10155,OG1RF_11986,COG0055,2098011,2099417,-,atpD2,ATP synthase F1 sector beta subunit,AEA94673.1,GI:327535839,"PF02874,PF00006,PF00306",IPR005722,3.6.3.14,C,"FoF1-type ATP synthase, beta subunit",C,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)
NA,Intergenic_2046_2099418_2099498,Intergenic_2046_2099418_2099498,NA,2099418,2099498,.,Intergenic_2046_2099418_2099498,Intergenic_2046_2099418_2099498,NA,NA,NA,NA,NA,NA,NA,NA,NA
